"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\llay\Documents\GitHub\Little-Bird\README.md", "Markdown", -2, 0, 0, 0, 0, -1, -3
"c:\Users\llay\Documents\GitHub\Little-Bird\build\js\app.js", "JavaScript", 0, -59725, 0, 0, -5839, -8340, -73904
"c:\Users\llay\Documents\GitHub\Little-Bird\index.html", "HTML", 0, 0, 0, -13, 0, -8, -21
"c:\Users\llay\Documents\GitHub\Little-Bird\main.js", "JavaScript", 0, -16, 0, 0, -1, -5, -22
"c:\Users\llay\Documents\GitHub\Little-Bird\package-lock.json", "JSON", 0, 0, -8257, 0, 0, -1, -8258
"c:\Users\llay\Documents\GitHub\Little-Bird\package.json", "JSON", 0, 0, -35, 0, 0, -1, -36
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Alignments.json", "JSON", 0, 0, -65, 0, 0, -1, -66
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Backgrounds.json", "JSON", 0, 0, -338, 0, 0, -1, -339
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Classes.json", "JSON", 0, 0, -4699, 0, 0, -1, -4700
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Conditions.json", "JSON", 0, 0, -154, 0, 0, -1, -155
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Damage-Types.json", "JSON", 0, 0, -102, 0, 0, -1, -103
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Equipment-Categories.json", "JSON", 0, 0, -4995, 0, 0, -1, -4996
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Equipment.json", "JSON", 0, 0, -6280, 0, 0, -1, -6281
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Feats.json", "JSON", 0, 0, -22, 0, 0, -1, -23
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Features.json", "JSON", 0, 0, -8469, 0, 0, -1, -8470
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Languages.json", "JSON", 0, 0, -135, 0, 0, -1, -136
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Levels.json", "JSON", 0, 0, -9005, 0, 0, -1, -9006
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Magic-Items.json", "JSON", 0, 0, -8493, 0, 0, -1, -8494
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Magic-Schools.json", "JSON", 0, 0, -50, 0, 0, -1, -51
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Monsters.json", "JSON", 0, 0, -45353, 0, 0, -1, -45354
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Omitted-Spells.json", "JSON", 0, 0, -2063, 0, 0, 0, -2063
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Proficiencies.json", "JSON", 0, 0, -2041, 0, 0, -1, -2042
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Races.json", "JSON", 0, 0, -1076, 0, 0, -1, -1077
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Rule-Sections.json", "JSON", 0, 0, -200, 0, 0, -1, -201
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Rules.json", "JSON", 0, 0, -215, 0, 0, -1, -216
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Skills.json", "JSON", 0, 0, -236, 0, 0, -1, -237
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Spells.json", "JSON", 0, 0, -19058, 0, 0, 0, -19058
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Subclasses.json", "JSON", 0, 0, -1801, 0, 0, -1, -1802
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Subraces.json", "JSON", 0, 0, -285, 0, 0, -1, -286
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Traits.json", "JSON", 0, 0, -1725, 0, 0, -1, -1726
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\5e-SRD-Weapon-Properties.json", "JSON", 0, 0, -89, 0, 0, -1, -90
"c:\Users\llay\Documents\GitHub\Little-Bird\public\data\Facts.json", "JSON", 0, 0, -404, 0, 0, 0, -404
"c:\Users\llay\Documents\GitHub\Little-Bird\webpack-common.js", "JavaScript", 0, -41, 0, 0, -2, -1, -44
"Total", "-", -2, -59782, -125645, -13, -5842, -8380, -199664